respuesta_original,texto_limpio,tema_id
"El asistente me ha resultado útil para encontrar alojamiento y completar la reserva. El flujo es claro, especialmente cuando pide los datos separados. Como mejora, incluiría un indicador de progreso durante la reserva.",asistente resultar útil encontrar alojamiento completar reserva flujo especialmente pedir dato separado mejora incluir indicador progreso reserva,0
"La web responde rápido y el diseño transmite confianza. El bot entiende bien las peticiones principales. Mejoraría la explicación de los descuentos, porque estaría bien saber por qué cambia el precio final.",web responder rápido diseño transmitir confianza bot entender petición principal mejorar explicación descuentos cambiar precio,2
"Me ha gustado que se pueda consultar disponibilidad, hacer una reserva y resolver dudas en el mismo sitio. La experiencia es cómoda y ahorra tiempo. Como mejora, añadiría confirmación por email o un resumen descargable.",gustar consultar disponibilidad reserva resolver duda sitio experiencia cómodo ahorra tiempo mejora añadirío confirmación email resumen descargable,1
"El sistema funciona bien, pero el flujo de reserva podría ser más flexible con algunos formatos de entrada. La utilidad es alta porque centraliza información y reserva. Añadiría ejemplos de frases que el usuario puede escribir.",sistema funcionar flujo reserva flexible formato entrada utilidad alto centralizar información reserva añadir ejemplo frase usuario escribir,0
Me parece una solución muy práctica para alojamientos pequeños. El asistente responde rápido y la información es útil. Me gustó especialmente poder preguntar por servicios del alojamiento. Mejoraría el aspecto visual de algunas respuestas largas.,solución práctico alojamientos pequeño asistente responder rápido información útil gustar especialmente preguntar servicio alojamiento mejorarir aspecto visual respuesta larga,0
"La web es clara y bonita. El flujo de reserva se entiende bien y el bot evita errores al pedir confirmación. Como mejora, pondría una vista más compacta para móviles y botones rápidos para consultar disponibilidad.",web bonitar flujo reserva entender bot evitar error pedir confirmación mejora vista compacto móvil botón rápido consultar disponibilidad,2
La experiencia ha sido muy buena. El asistente parece fiable porque no intenta cerrar la reserva sin validar antes. Me ha gustado que muestre el precio y los datos antes de confirmar. Añadiría integración con pago online en el futuro.,experiencia asistente fiable intentar cerrar reserva validar gustar mostrar precio dato confirmar añadiría integración pago onlinar futuro,0
"La web es sencilla, pero algunas respuestas del asistente podrían ser más directas. El flujo de reserva es comprensible, aunque mejoraría la ayuda inicial. Me parece útil, pero todavía añadiría más opciones guiadas además del chat.",web sencillo respuesta asistente directa flujo reserva comprensible mejorar ayuda inicial útil añadir opción guiada chat,1
"Me ha gustado mucho el diseño y la rapidez. Las respuestas son útiles para resolver dudas antes de reservar. Como mejora, añadiría recomendaciones automáticas según número de huéspedes o tipo de viaje.",gustar diseño rapidez respuesta útil resolver duda reservar mejora añadir recomendación automático número huésped tipo viaje,1
El sistema me parece muy cómodo para gestionar una reserva sin intervención manual. El bot guía bien y la web responde rápido. Mejoraría la explicación del calendario y añadiría una leyenda más visible.,sistema cómodo gestionar reserva intervención manual bot guir web responder rápido mejorarir explicación calendario añadir leyenda visible,3
"La experiencia general es muy buena. El asistente combina bien información y reserva, y la interfaz ayuda a elegir alojamiento. Como mejora, incluiría más información sobre normas de la casa y un resumen final más visual después de confirmar.",experiencia general asistente combinar información reserva interfaz ayuda elegir alojamiento mejora incluir información norma casa resumen visual confirmar,0
