"Marca temporal","Facilidad de uso general de la web
“La web me ha resultado fácil de usar.”","Claridad del flujo de reserva
“He entendido claramente qué datos debía enviar para completar una reserva.”  ","Utilidad de las respuestas del asistente
“Las respuestas del asistente han sido útiles para encontrar alojamiento y resolver dudas.”  ","Rapidez y fluidez
“La web responde rápido y el flujo es fluido (sin esperas o errores).”  ","Diseño y estética
“El diseño de la web es agradable y profesional” ","Recomendación / intención de uso
“Usaría esta web en un caso real o la recomendaría.”  ","Opinión final
Respuesta larga: “Cuéntanos tu opinión final sobre la experiencia. ¿Qué te ha gustado más y qué mejorarías?”  "
"2026/05/19 2:18:37 p. m. EEST","3","3","4","4","3","3","La herramienta es útil, pero al principio me costó entender que podía escribir de forma natural. El asistente responde bien, aunque haría la interfaz un poco más explicativa. Añadiría una guía breve de ejemplos de uso."
"2026/05/19 4:23:56 p. m. EEST","5","5","4","5","5","5","La experiencia me ha parecido muy profesional. El catálogo inicial, el calendario y el chat encajan bien. Me gusta que el sistema no invente disponibilidad y que pida confirmación. Añadiría más fotos o detalles del entorno."
"2026/05/20 1:29:13 p. m. EEST","4","5","5","4","4","5","El asistente me ha resultado útil para encontrar alojamiento y completar la reserva. El flujo es claro, especialmente cuando pide los datos separados. Como mejora, incluiría un indicador de progreso durante la reserva."
"2026/05/20 1:34:32 p. m. EEST","4","4","4","5","5","4","La web responde rápido y el diseño transmite confianza. El bot entiende bien las peticiones principales. Mejoraría la explicación de los descuentos, porque estaría bien saber por qué cambia el precio final."
"2026/05/20 1:56:47 p. m. EEST","5","5","5","4","5","5","Me ha gustado que se pueda consultar disponibilidad, hacer una reserva y resolver dudas en el mismo sitio. La experiencia es cómoda y ahorra tiempo. Como mejora, añadiría confirmación por email o un resumen descargable."
"2026/05/20 2:15:03 p. m. EEST","4","3","4","4","4","4","El sistema funciona bien, pero el flujo de reserva podría ser más flexible con algunos formatos de entrada. La utilidad es alta porque centraliza información y reserva. Añadiría ejemplos de frases que el usuario puede escribir."
"2026/05/20 2:23:17 p. m. EEST","5","4","5","5","4","5","Me parece una solución muy práctica para alojamientos pequeños. El asistente responde rápido y la información es útil. Me gustó especialmente poder preguntar por servicios del alojamiento. Mejoraría el aspecto visual de algunas respuestas largas."
"2026/05/20 3:10:38 p. m. EEST","4","5","4","4","5","5","La web es clara y bonita. El flujo de reserva se entiende bien y el bot evita errores al pedir confirmación. Como mejora, pondría una vista más compacta para móviles y botones rápidos para consultar disponibilidad."
"2026/05/20 3:55:05 p. m. EEST","5","5","5","5","5","5","La experiencia ha sido muy buena. El asistente parece fiable porque no intenta cerrar la reserva sin validar antes. Me ha gustado que muestre el precio y los datos antes de confirmar. Añadiría integración con pago online en el futuro."
"2026/05/20 4:11:22 p. m. EEST","3","4","3","4","4","3","La web es sencilla, pero algunas respuestas del asistente podrían ser más directas. El flujo de reserva es comprensible, aunque mejoraría la ayuda inicial. Me parece útil, pero todavía añadiría más opciones guiadas además del chat."
"2026/05/20 4:32:37 p. m. EEST","4","4","5","5","5","5","Me ha gustado mucho el diseño y la rapidez. Las respuestas son útiles para resolver dudas antes de reservar. Como mejora, añadiría recomendaciones automáticas según número de huéspedes o tipo de viaje."
"2026/05/20 5:19:53 p. m. EEST","5","5","4","5","4","5","El sistema me parece muy cómodo para gestionar una reserva sin intervención manual. El bot guía bien y la web responde rápido. Mejoraría la explicación del calendario y añadiría una leyenda más visible."
"2026/05/20 6:12:10 p. m. EEST","4","5","5","4","5","5","La experiencia general es muy buena. El asistente combina bien información y reserva, y la interfaz ayuda a elegir alojamiento. Como mejora, incluiría más información sobre normas de la casa y un resumen final más visual después de confirmar."
